backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,genre
www.themoviedb.org/t/p/w600_and_h900_bestv2/tyH5rBXLVaNeMgLSPgWfsl8tmsY.jpg,"10749, 28",882020,te,మను చరిత్,empty,1.4,www.themoviedb.org/t/p/w600_and_h900_bestv2/rfcp3d7EfUEzxdZcdhJZbXcCoGz.jpg,2023-06-23,మను చరిత్,0.0,0,"Romance, Action"
www.themoviedb.org/t/p/w600_and_h900_bestv2/kNoCrVHYHW5iUZENNDuTs0Cj83B.jpg,"53, 10749, 28",893514,ta,பாயும் ஒளி நீ எனக்கு,empty,26.881,www.themoviedb.org/t/p/w600_and_h900_bestv2/wR07XZNsWmPGFvitMN1zSk7gFbk.jpg,2023-06-23,பாயும் ஒளி நீ எனக்கு,0.0,0,"Thriller, Romance, Action"
www.themoviedb.org/t/p/w600_and_h900_bestv2/pXhobMqLlbgSpeQZjiipv8sLUlw.jpg,"18, 10749",899535,pt,Um Ano Inesquecível - Primavera,empty,59.436,www.themoviedb.org/t/p/w600_and_h900_bestv2/82KpRnPInxlEQsiMdLyhHHxJjgn.jpg,2023-06-22,Um Ano Inesquecível - Primavera,0.0,0,"Drama, Romance"
empty,"53, 18",904572,en,Phels High,empty,37.402,www.themoviedb.org/t/p/w600_and_h900_bestv2/syMX2i31GotIBtKExoFWIFfnvzv.jpg,2023-06-23,Phels High,0.0,0,"Thriller, Drama"
www.themoviedb.org/t/p/w600_and_h900_bestv2/f7zrgyGgdrSQgPEzgn9GlJEoGw.jpg,99,913854,en,Framing Agnes,empty,4.137,www.themoviedb.org/t/p/w600_and_h900_bestv2/fgF6uUZ6Xus8dKBTWk49DICdq03.jpg,2023-06-22,Framing Agnes,0.0,0,Documentary
www.themoviedb.org/t/p/w600_and_h900_bestv2/vozTuo8zvFGMtcLPWKUEdpM86d5.jpg,"35, 18, 10751",919031,hi,टीकू वेड्स शेरू,empty,37.837,www.themoviedb.org/t/p/w600_and_h900_bestv2/k8STpwE6844GRBvlMACG0leiDWb.jpg,2023-06-22,टीकू वेड्स शेरू,7.0,1,"Comedy, Drama, Family"
www.themoviedb.org/t/p/w600_and_h900_bestv2/BUABmlxQLbbNsiaVQqucDtwQO0.jpg,"28, 80, 18",926900,ta,தலைநகரம் 2,empty,30.36,www.themoviedb.org/t/p/w600_and_h900_bestv2/mNherq6NoBpGb5xySaAKtE3P3DN.jpg,2023-06-23,தலைநகரம் 2,0.0,0,"Action, Crime, Drama"
www.themoviedb.org/t/p/w600_and_h900_bestv2/ufB9UYar21pVStDv3Cbhs7yONQR.jpg,"10402, 10751, 35",929569,en,World's Best,"Prem, um génio da Matemática de 12 anos, descobre que o pai, falecido recentemente, era um rapper famoso. Então, decide saber mais sobre a vida e as paixões do pai. Capacitado pelas suas fantasias repletas de hip hop e imaginação, Prem está decidido a descobrir se o hip hop faz mesmo parte do ADN dele.",52.144,www.themoviedb.org/t/p/w600_and_h900_bestv2/4kEsUVpzjvPMsY7TQOQP5ipVmnh.jpg,2023-06-23,Melhor do Mundo,10.0,2,"Music, Family, Comedy"
empty,53,946215,en,In the Fire,empty,35.494,www.themoviedb.org/t/p/w600_and_h900_bestv2/yLr6bG6xsr9u80gAMDTVzzltWeP.jpg,2023-06-24,In the Fire,0.0,0,Thriller
www.themoviedb.org/t/p/w600_and_h900_bestv2/mI668vRnmLA4DZtXnBV2YJoTctO.jpg,99,951191,es,H,empty,23.857,www.themoviedb.org/t/p/w600_and_h900_bestv2/lgjPdNL96wcSB58YvnpUbYAWx7L.jpg,2023-06-23,H,5.0,1,Documentary
